"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"825300","4462","0500000US06001","Alameda County, California"
"372500","23650","0500000US06003","Alpine County, California"
"329300","11372","0500000US06005","Amador County, California"
"304700","7078","0500000US06007","Butte County, California"
"340000","9138","0500000US06009","Calaveras County, California"
"274100","17719","0500000US06011","Colusa County, California"
"655500","3992","0500000US06013","Contra Costa County, California"
"227500","18486","0500000US06015","Del Norte County, California"
"479800","7103","0500000US06017","El Dorado County, California"
"271000","2511","0500000US06019","Fresno County, California"
"242200","11644","0500000US06021","Glenn County, California"
"331300","5565","0500000US06023","Humboldt County, California"
"206700","6379","0500000US06025","Imperial County, California"
"258200","19675","0500000US06027","Inyo County, California"
"226600","2501","0500000US06029","Kern County, California"
"227400","4710","0500000US06031","Kings County, California"
"238000","9589","0500000US06033","Lake County, California"
"207800","10271","0500000US06035","Lassen County, California"
"615500","1605","0500000US06037","Los Angeles County, California"
"268500","5147","0500000US06039","Madera County, California"
"1053600","14592","0500000US06041","Marin County, California"
"290200","13976","0500000US06043","Mariposa County, California"
"388500","11409","0500000US06045","Mendocino County, California"
"268800","4864","0500000US06047","Merced County, California"
"153600","12955","0500000US06049","Modoc County, California"
"385500","45592","0500000US06051","Mono County, California"
"559400","9425","0500000US06053","Monterey County, California"
"666900","8750","0500000US06055","Napa County, California"
"446100","10726","0500000US06057","Nevada County, California"
"703800","2560","0500000US06059","Orange County, California"
"495900","4349","0500000US06061","Placer County, California"
"259300","14972","0500000US06063","Plumas County, California"
"368100","1745","0500000US06065","Riverside County, California"
"373000","1986","0500000US06067","Sacramento County, California"
"588500","11265","0500000US06069","San Benito County, California"
"348500","2358","0500000US06071","San Bernardino County, California"
"595600","2794","0500000US06073","San Diego County, California"
"1152300","11342","0500000US06075","San Francisco County, California"
"367900","3422","0500000US06077","San Joaquin County, California"
"605200","6500","0500000US06079","San Luis Obispo County, California"
"1163100","9230","0500000US06081","San Mateo County, California"
"610300","18043","0500000US06083","Santa Barbara County, California"
"1061900","6354","0500000US06085","Santa Clara County, California"
"787000","13458","0500000US06087","Santa Cruz County, California"
"261000","5374","0500000US06089","Shasta County, California"
"229400","34916","0500000US06091","Sierra County, California"
"214300","9133","0500000US06093","Siskiyou County, California"
"437900","3482","0500000US06095","Solano County, California"
"640000","5262","0500000US06097","Sonoma County, California"
"314100","3357","0500000US06099","Stanislaus County, California"
"306000","8042","0500000US06101","Sutter County, California"
"231500","7614","0500000US06103","Tehama County, California"
"285700","12953","0500000US06105","Trinity County, California"
"223600","3891","0500000US06107","Tulare County, California"
"314300","13498","0500000US06109","Tuolumne County, California"
"609200","4363","0500000US06111","Ventura County, California"
"456800","8682","0500000US06113","Yolo County, California"
"273600","5913","0500000US06115","Yuba County, California"
